OBJECTID,DAUID,CSDUID,CSDNAME,TOT_MOBILITY_STATUS_1YR_AGO,MS1_NON_MOVERS,MS1_MOVERS,MS1_NONMIGRANTS,MS1_MIGRANTS,MS1_INTERNAL_MIGRANTS,MS1_INTERNAL_INTRAPROV_MIGRANT,MS1_INTERNAL_INTERPROV_MIGRANT,MS1_EXTERNAL_MIGRANT,TOT_MOBILITY_STATUS_5YR_AGO,MS5_NON_MOVERS,MS5_MOVERS,MS5_NONMIGRANTS,MS5_MIGRANTS,MS5_INTERNAL_MIGRANTS,MS5_INTERNAL_INTRAPROV_MIGRANT,MS5_INTERNAL_INTERPROV_MIGRANT,MS5_EXTERNAL_MIGRANT,Shape__Area,Shape__Length
1167,35191365,3519038,Richmond Hill,2635,2400,235,110,120,55,55,0,70,2370,1110,1260,620,635,435,420,15,205,542808.2109375,3330.26722142589
1168,35191360,3519044,Whitchurch-Stouffville,,,,,,,,,,,,,,,,,,,3295782.53369141,7296.82986231871
1169,35191355,3519044,Whitchurch-Stouffville,1660,1490,165,45,120,85,85,0,35,1570,1125,445,140,310,255,245,0,55,581838.401123047,4139.71661258905
1170,35191358,3519044,Whitchurch-Stouffville,510,425,90,30,55,50,50,0,10,470,265,205,80,125,95,95,0,25,491960.661865234,2989.78472814579
1171,35191349,3519028,Vaughan,130,130,0,0,0,0,0,0,0,110,50,55,45,10,15,15,0,0,195995.185058594,1873.32613448605
1172,35191351,3519028,Vaughan,1430,1320,110,35,75,70,65,0,10,1320,985,340,225,115,85,80,0,35,150792.426757813,1704.78078224102
1173,35191347,3519028,Vaughan,85,85,0,0,0,0,0,0,0,85,90,0,0,0,0,0,0,0,14145.6853027344,539.346346902867
1174,35190034,3519070,Georgina,520,505,20,15,10,0,10,0,0,520,385,135,85,55,50,50,10,0,473817.247558594,11217.885927242
1175,35190002,3519070,Georgina,770,650,120,50,70,70,70,0,0,725,435,290,75,210,210,200,10,0,5691890.49267578,19766.1327125217
1176,35190003,3519070,Georgina,350,330,25,15,0,10,10,0,0,340,235,105,40,70,60,60,0,10,4533111.68164063,13348.2393763625
1177,35190015,3519070,Georgina,525,435,90,35,50,50,50,0,0,515,345,170,80,90,80,80,0,15,662470.718994141,15103.1873139832
1178,35191049,3519070,Georgina,1070,920,150,90,60,60,60,0,0,1040,690,350,240,105,95,85,0,10,1820723.45532227,37203.3452767667
1179,35191123,3519028,Vaughan,1100,1025,80,60,20,20,10,0,0,1065,870,195,90,105,80,75,0,25,422716.131835938,6977.61869466384
1180,35190811,3519028,Vaughan,775,765,15,15,0,0,0,0,0,745,625,125,25,95,95,80,10,10,247734.289306641,2285.74654019697
1181,35190809,3519028,Vaughan,1015,970,40,0,40,35,0,30,10,985,860,125,60,65,65,40,20,0,299055.531005859,2799.23171181102
1182,35190810,3519028,Vaughan,235,225,10,0,10,0,0,0,0,235,215,20,10,10,0,10,0,0,46749.5354003906,1151.23836879808
1183,35190768,3519038,Richmond Hill,220,210,10,10,0,0,10,0,0,210,185,30,20,10,0,10,0,0,17136115.2438965,27546.9410553836
1184,35190611,3519036,Markham,630,580,50,30,25,10,10,0,15,615,470,140,85,55,40,45,0,20,131448.732666016,2050.47942300498
